"Taxon","Cluster"
"7001_1#11","81"
"6999_7#3","64"
"6999_4#4","64"
"6999_3#18","64"
"6930_8#12","64"
"6999_7#15","64"
"6952_7#5","64"
"6999_2#16","64"
"6925_2#93","64"
"6925_1#54","64"
"6999_6#15","64"
"6999_3#4","64"
"6952_4#15","64"
"6999_2#14","64"
"6999_3#12","64"
"6999_4#14","64"
"6952_4#10","64"
"6999_4#19","64"
"7553_4#15","64"
"6925_1#58","60"
"6952_4#22","60"
"7622_4#10","60"
"6925_1#51","60"
"6952_4#13","60"
"6930_8#9","60"
"7553_5#62","60"
"7622_3#75","59"
"7553_5#61","59"
"7001_1#6","59"
"7622_4#14","59"
"7001_3#5","59"
"6952_7#3","59"
"7553_4#20","59"
"7553_5#77","59"
"7622_3#63","59"
"7001_1#10","59"
"7553_5#83","59"
"7622_3#80","59"
"7553_5#85","59"
"7553_5#63","59"
"7001_3#1","59"
"7553_5#74","59"
"7553_6#4","59"
"6999_3#21","59"
"6925_2#92","59"
"7622_3#50","59"
"7622_2#11","59"
"6925_1#62","59"
"7622_3#65","59"
"6930_8#19","59"
"6999_3#5","59"
"6925_2#87","59"
"6999_7#14","59"
"7622_5#59","59"
"6952_7#4","59"
"6999_1#21","59"
"7622_4#43","59"
"7001_1#20","59"
"7622_4#28","59"
"7553_5#57","59"
"7553_4#34","59"
"6999_2#21","59"
"6999_2#23","59"
"7553_5#59","59"
"7622_5#53","59"
"7622_3#62","59"
"7622_3#95","59"
"6952_7#11","59"
"7622_4#23","59"
"7622_5#80","59"
"7001_2#14","59"
"7553_4#25","59"
"6999_4#6","89"
"7553_5#94","89"
"7553_5#50","89"
"6925_2#79","89"
"7622_2#24","89"
"7553_5#89","89"
"7622_3#87","89"
"7622_4#25","89"
"6925_1#71","89"
"7553_4#1","89"
"7553_4#37","89"
"6930_8#17","75"
"6999_2#17","75"
"7001_2#17","75"
"6925_2#88","119"
"6952_4#8","119"
"6999_3#9","119"
"7622_2#26","119"
"6925_1#61","119"
"7622_3#60","140"
"6999_6#23","140"
"7553_4#16","111"
"6999_6#14","111"
"7622_4#32","111"
"7622_2#15","111"
"7001_1#15","111"
"7622_5#49","111"
"7553_4#38","111"
"7001_2#20","111"
"6999_4#15","111"
"6925_2#90","111"
"7553_4#48","111"
"7553_6#5","111"
"7622_5#83","111"
"6925_1#60","111"
"7001_1#12","111"
"6999_6#18","123"
"7622_4#31","123"
"7622_3#86","99"
"6999_1#10","175"
"6999_2#18","175"
"6999_6#13","175"
"7001_3#3","175"
"6999_5#18","175"
"6999_1#15","175"
"6930_8#22","175"
"6999_5#13","97"
"7622_4#8","97"
"7553_6#2","97"
"6999_1#18","97"
"6999_7#5","97"
"6999_4#12","97"
"6999_3#19","97"
"6952_7#7","97"
"6952_4#11","97"
"6952_7#10","97"
"6999_3#16","97"
"7553_5#87","97"
"7001_3#2","24"
"7553_4#31","156"
"7622_5#64","135"
"7553_5#55","135"
"6925_2#81","135"
"7622_2#17","135"
"7553_5#93","135"
"7553_5#73","135"
"7553_5#72","132"
"7553_5#70","132"
"7553_5#81","132"
"7553_5#78","132"
"7553_6#7","132"
"7622_2#23","18"
"7622_5#67","18"
"6952_7#16","237"
"7622_3#78","397"
"7622_2#47","397"
"6999_6#11","22"
"7622_2#21","316"
"6999_4#13","601"
